Time,Colorado,PercentOfBaseline
3/16/2020,25,94
3/17/2020,22,88
3/18/2020,33,81
3/19/2020,62,59
3/20/2020,86,60
3/21/2020,111,74
3/22/2020,120,54
3/23/2020,128,67
3/24/2020,189,68
3/25/2020,175,67
3/26/2020,343,65
3/27/2020,308,66
3/28/2020,323,60
3/29/2020,247,52
3/30/2020,319,55
3/31/2020,339,59
4/1/2020,376,56
4/2/2020,386,48
4/3/2020,445,49
4/4/2020,392,39
4/5/2020,385,30
4/6/2020,233,46
4/7/2020,246,48
4/8/2020,226,54
4/9/2020,547,45
4/10/2020,311,45
4/11/2020,380,27
4/12/2020,414,15
4/13/2020,389,33
4/14/2020,254,38
4/15/2020,330,50
4/16/2020,395,31
4/17/2020,372,43
4/18/2020,393,32
4/19/2020,290,13
4/20/2020,382,31
4/21/2020,361,31
4/22/2020,418,49
4/23/2020,387,39
4/24/2020,978,41
4/25/2020,712,24
4/26/2020,473,12
4/27/2020,438,44
4/28/2020,437,48
4/29/2020,442,51
4/30/2020,526,47
5/1/2020,509,46
5/2/2020,432,36
5/3/2020,410,20
5/4/2020,283,49
5/5/2020,449,44
5/6/2020,465,51
5/7/2020,538,48
5/8/2020,457,49
5/9/2020,548,33
5/10/2020,328,21
5/11/2020,176,44
5/12/2020,278,46
5/13/2020,318,51
5/14/2020,363,51
5/15/2020,394,52
5/16/2020,401,34
5/17/2020,305,21
5/18/2020,264,45
5/19/2020,280,48
5/20/2020,315,57
5/21/2020,394,50
5/22/2020,296,54
5/23/2020,477,25
5/24/2020,210,13
5/25/2020,95,16
5/26/2020,296,46
5/27/2020,202,55
5/28/2020,354,59
5/29/2020,491,59
5/30/2020,486,35
5/31/2020,280,21
6/1/2020,199,44
6/2/2020,211,55
6/3/2020,272,58
6/4/2020,300,48
6/5/2020,255,49
6/6/2020,233,35
6/7/2020,153,27
6/8/2020,182,45
6/9/2020,164,50
6/10/2020,152,53
6/11/2020,148,53
6/12/2020,175,58
6/13/2020,195,42
6/14/2020,113,30
6/15/2020,169,48
6/16/2020,143,53
6/17/2020,229,62
6/18/2020,230,56
6/19/2020,286,63
6/20/2020,161,41
6/21/2020,191,28
6/22/2020,166,50
6/23/2020,188,56
6/24/2020,262,65
6/25/2020,324,53
6/26/2020,317,64
6/27/2020,226,47
6/28/2020,285,37
6/29/2020,204,58
6/30/2020,204,60
7/1/2020,314,71
7/2/2020,323,60
7/3/2020,260,36
7/4/2020,254,32
7/5/2020,199,30
7/6/2020,192,52
7/7/2020,407,63
7/8/2020,452,75
7/9/2020,409,66
7/10/2020,666,75
7/11/2020,400,59
7/12/2020,322,65
7/13/2020,323,68
7/14/2020,450,75
7/15/2020,469,76
7/16/2020,571,70
7/17/2020,618,72
7/18/2020,444,54
7/19/2020,354,58
7/20/2020,424,68
7/21/2020,493,71
7/22/2020,639,69
7/23/2020,615,64
7/24/2020,667,72
7/25/2020,809,61
7/26/2020,547,54
7/27/2020,229,69
7/28/2020,749,71
7/29/2020,482,66
7/30/2020,408,65
7/31/2020,605,60
8/1/2020,458,49
8/2/2020,460,50
8/3/2020,241,59
8/4/2020,426,67
8/5/2020,594,68
8/6/2020,448,75
8/7/2020,457,72
8/8/2020,431,53
8/9/2020,336,49
8/10/2020,378,64
8/11/2020,403,66
8/12/2020,315,67
8/13/2020,463,64
8/14/2020,319,71
8/15/2020,300,57
8/16/2020,338,58
8/17/2020,194,72
8/18/2020,261,71
8/19/2020,270,71
8/20/2020,329,81
8/21/2020,0,56
8/22/2020,653,49
8/23/2020,260,64
8/24/2020,198,71
8/25/2020,459,68
8/26/2020,193,65
8/27/2020,350,77
8/28/2020,430,55
8/29/2020,267,54
8/30/2020,183,67
8/31/2020,201,68
9/1/2020,351,69
9/2/2020,244,80
9/3/2020,268,78
9/4/2020,0,48
9/5/2020,699,43
9/6/2020,285,32
9/7/2020,213,64
9/8/2020,187,68
9/9/2020,240,68
9/10/2020,264,79
9/11/2020,307,59
9/12/2020,414,55
9/13/2020,417,63
9/14/2020,374,70
9/15/2020,412,72
9/16/2020,587,71
9/17/2020,459,81
9/18/2020,605,50
9/19/2020,606,54
9/20/2020,501,68
9/21/2020,542,69
9/22/2020,654,73
9/23/2020,616,72
9/24/2020,548,79
9/25/2020,709,53
9/26/2020,584,51
9/27/2020,569,65
9/28/2020,411,66
9/29/2020,535,65
9/30/2020,511,73
10/1/2020,682,68
10/2/2020,680,59
10/3/2020,657,49
10/4/2020,521,70
10/5/2020,461,66
10/6/2020,654,73
10/7/2020,731,71
10/8/2020,863,79
10/9/2020,834,49
10/10/2020,1023,55
10/11/2020,819,69
10/12/2020,576,64
10/13/2020,1048,64
10/14/2020,692,64
10/15/2020,1141,75
10/16/2020,1312,
