Time,Georgia,PercentOfBaseline
3/16/2020,22,92
3/17/2020,25,87
3/18/2020,51,90
3/19/2020,90,89
3/20/2020,198,76
3/21/2020,70,85
3/22/2020,66,93
3/23/2020,151,78
3/24/2020,254,84
3/25/2020,221,74
3/26/2020,278,74
3/27/2020,475,70
3/28/2020,366,77
3/29/2020,285,60
3/30/2020,157,65
3/31/2020,1121,66
4/1/2020,709,71
4/2/2020,710,67
4/3/2020,483,59
4/4/2020,329,58
4/5/2020,487,48
4/6/2020,667,56
4/7/2020,1508,63
4/8/2020,1079,62
4/9/2020,665,65
4/10/2020,919,61
4/11/2020,674,61
4/12/2020,293,42
4/13/2020,863,56
4/14/2020,1263,57
4/15/2020,409,54
4/16/2020,682,60
4/17/2020,1525,57
4/18/2020,475,61
4/19/2020,632,47
4/20/2020,1106,51
4/21/2020,474,62
4/22/2020,1333,58
4/23/2020,669,53
4/24/2020,608,55
4/25/2020,731,53
4/26/2020,264,48
4/27/2020,816,50
4/28/2020,620,63
4/29/2020,853,61
4/30/2020,489,55
5/1/2020,1225,58
5/2/2020,842,58
5/3/2020,334,48
5/4/2020,786,53
5/5/2020,547,58
5/6/2020,745,57
5/7/2020,875,60
5/8/2020,563,56
5/9/2020,407,53
5/10/2020,992,49
5/11/2020,422,54
5/12/2020,922,61
5/13/2020,503,64
5/14/2020,550,57
5/15/2020,795,60
5/16/2020,440,51
5/17/2020,367,45
5/18/2020,704,50
5/19/2020,572,61
5/20/2020,946,62
5/21/2020,862,61
5/22/2020,819,58
5/23/2020,760,56
5/24/2020,660,52
5/25/2020,498,26
5/26/2020,583,51
5/27/2020,655,61
5/28/2020,628,61
5/29/2020,615,59
5/30/2020,450,59
5/31/2020,732,49
6/1/2020,839,55
6/2/2020,305,61
6/3/2020,687,57
6/4/2020,965,62
6/5/2020,762,58
6/6/2020,738,59
6/7/2020,539,41
6/8/2020,599,54
6/9/2020,752,57
6/10/2020,731,56
6/11/2020,993,60
6/12/2020,810,64
6/13/2020,1021,57
6/14/2020,877,48
6/15/2020,733,57
6/16/2020,664,62
6/17/2020,952,60
6/18/2020,882,62
6/19/2020,1097,60
6/20/2020,1800,54
6/21/2020,892,48
6/22/2020,1227,57
6/23/2020,1882,62
6/24/2020,1571,64
6/25/2020,1714,65
6/26/2020,1900,60
6/27/2020,1990,62
6/28/2020,2225,57
6/29/2020,2207,58
6/30/2020,1874,70
7/1/2020,2951,63
7/2/2020,3467,64
7/3/2020,2784,52
7/4/2020,2826,38
7/5/2020,2197,49
7/6/2020,1548,56
7/7/2020,3406,64
7/8/2020,3420,63
7/9/2020,2837,64
7/10/2020,4490,60
7/11/2020,3184,62
7/12/2020,2534,59
7/13/2020,3637,57
7/14/2020,3391,71
7/15/2020,3875,65
7/16/2020,3449,75
7/17/2020,3905,67
7/18/2020,4688,69
7/19/2020,3249,62
7/20/2020,2453,69
7/21/2020,3406,68
7/22/2020,3314,73
7/23/2020,4305,66
7/24/2020,4813,61
7/25/2020,3768,62
7/26/2020,2765,59
7/27/2020,2890,67
7/28/2020,4209,63
7/29/2020,3271,68
7/30/2020,3963,64
7/31/2020,4066,61
8/1/2020,3660,64
8/2/2020,3165,51
8/3/2020,2258,63
8/4/2020,2513,68
8/5/2020,3765,65
8/6/2020,3182,64
8/7/2020,4109,64
8/8/2020,4423,65
8/9/2020,3169,63
8/10/2020,2429,57
8/11/2020,3563,65
8/12/2020,3565,68
8/13/2020,2515,75
8/14/2020,3227,65
8/15/2020,3273,68
8/16/2020,1862,56
8/17/2020,1831,0
8/18/2020,2816,63
8/19/2020,2305,69
8/20/2020,2759,71
8/21/2020,2889,68
8/22/2020,2592,73
8/23/2020,1727,62
8/24/2020,2304,66
8/25/2020,2101,66
8/26/2020,2236,63
8/27/2020,2484,69
8/28/2020,2298,67
8/29/2020,2386,74
8/30/2020,1215,62
8/31/2020,1498,62
9/1/2020,2226,71
9/2/2020,1916,67
9/3/2020,2675,68
9/4/2020,2066,67
9/5/2020,2194,68
9/6/2020,1651,61
9/7/2020,608,34
9/8/2020,1543,61
9/9/2020,1950,64
9/10/2020,1823,70
9/11/2020,1658,59
9/12/2020,2124,62
9/13/2020,1409,57
9/14/2020,1023,66
9/15/2020,1657,62
9/16/2020,2062,62
9/17/2020,1847,60
9/18/2020,1951,61
9/19/2020,2167,63
9/20/2020,1134,63
9/21/2020,1184,63
9/22/2020,955,63
9/23/2020,1867,65
9/24/2020,1537,62
9/25/2020,816,62
9/26/2020,1359,66
9/27/2020,812,68
9/28/2020,596,64
9/29/2020,1025,62
9/30/2020,1720,66
10/1/2020,1333,68
10/2/2020,1275,71
10/3/2020,1535,58
10/4/2020,756,62
10/5/2020,789,60
10/6/2020,936,66
10/7/2020,1492,70
10/8/2020,1265,68
10/9/2020,1625,67
10/10/2020,1237,64
10/11/2020,1140,66
10/12/2020,902,57
10/13/2020,993,68
10/14/2020,1297,71
10/15/2020,1640,67
10/16/2020,1609,66
