Time,Hawaii,PercentOfBaseline
3/16/2020,2,95
3/17/2020,2,95
3/18/2020,5,90
3/19/2020,10,93
3/20/2020,11,86
3/21/2020,0,94
3/22/2020,17,100
3/23/2020,3,98
3/24/2020,34,97
3/25/2020,1,98
3/26/2020,4,94
3/27/2020,11,99
3/28/2020,43,99
3/29/2020,0,90
3/30/2020,26,100
3/31/2020,29,92
4/1/2020,20,90
4/2/2020,32,88
4/3/2020,63,83
4/4/2020,32,90
4/5/2020,20,100
4/6/2020,16,100
4/7/2020,23,89
4/8/2020,0,86
4/9/2020,32,88
4/10/2020,0,79
4/11/2020,23,77
4/12/2020,34,93
4/13/2020,5,83
4/14/2020,7,73
4/15/2020,13,79
4/16/2020,6,86
4/17/2020,11,68
4/18/2020,33,84
4/19/2020,6,76
4/20/2020,4,85
4/21/2020,2,86
4/22/2020,6,79
4/23/2020,4,75
4/24/2020,5,77
4/25/2020,4,70
4/26/2020,1,82
4/27/2020,1,82
4/28/2020,2,82
4/29/2020,4,77
4/30/2020,5,80
5/1/2020,1,80
5/2/2020,1,78
5/3/2020,0,76
5/4/2020,1,75
5/5/2020,4,83
5/6/2020,1,82
5/7/2020,3,81
5/8/2020,0,75
5/9/2020,2,70
5/10/2020,1,88
5/11/2020,2,85
5/12/2020,1,83
5/13/2020,3,78
5/14/2020,-1,83
5/15/2020,1,73
5/16/2020,1,73
5/17/2020,1,77
5/18/2020,0,86
5/19/2020,1,94
5/20/2020,2,83
5/21/2020,4,88
5/22/2020,-5,83
5/23/2020,1,77
5/24/2020,0,91
5/25/2020,0,41
5/26/2020,0,74
5/27/2020,1,92
5/28/2020,3,96
5/29/2020,2,83
5/30/2020,2,86
5/31/2020,1,85
6/1/2020,0,81
6/2/2020,1,89
6/3/2020,0,86
6/4/2020,2,99
6/5/2020,9,75
6/6/2020,9,93
6/7/2020,2,89
6/8/2020,1,96
6/9/2020,6,88
6/10/2020,3,83
6/11/2020,7,71
6/12/2020,14,88
6/13/2020,17,73
6/14/2020,5,93
6/15/2020,8,82
6/16/2020,0,100
6/17/2020,8,84
6/18/2020,18,90
6/19/2020,27,92
6/20/2020,0,89
6/21/2020,25,95
6/22/2020,2,88
6/23/2020,3,95
6/24/2020,16,85
6/25/2020,16,88
6/26/2020,15,81
6/27/2020,6,88
6/28/2020,27,92
6/29/2020,1,100
6/30/2020,17,92
7/1/2020,9,75
7/2/2020,20,81
7/3/2020,29,58
7/4/2020,24,57
7/5/2020,24,71
7/6/2020,7,92
7/7/2020,41,95
7/8/2020,23,79
7/9/2020,36,81
7/10/2020,28,85
7/11/2020,42,85
7/12/2020,20,80
7/13/2020,23,81
7/14/2020,21,98
7/15/2020,28,86
7/16/2020,19,90
7/17/2020,23,95
7/18/2020,20,90
7/19/2020,27,81
7/20/2020,12,100
7/21/2020,25,100
7/22/2020,17,100
7/23/2020,55,94
7/24/2020,59,92
7/25/2020,71,91
7/26/2020,63,90
7/27/2020,28,61
7/28/2020,46,85
7/29/2020,108,89
7/30/2020,124,90
7/31/2020,122,92
8/1/2020,86,100
8/2/2020,45,95
8/3/2020,206,99
8/4/2020,143,88
8/5/2020,172,97
8/6/2020,151,97
8/7/2020,201,88
8/8/2020,231,94
8/9/2020,152,94
8/10/2020,140,87
8/11/2020,118,95
8/12/2020,202,83
8/13/2020,354,85
8/14/2020,231,85
8/15/2020,282,89
8/16/2020,217,87
8/17/2020,173,99
8/18/2020,134,95
8/19/2020,260,88
8/20/2020,235,68
8/21/2020,228,80
8/22/2020,284,81
8/23/2020,244,100
8/24/2020,169,89
8/25/2020,215,100
8/26/2020,276,95
8/27/2020,306,83
8/28/2020,264,90
8/29/2020,309,88
8/30/2020,200,83
8/31/2020,133,79
9/1/2020,181,82
9/2/2020,338,93
9/3/2020,211,73
9/4/2020,271,83
9/5/2020,220,97
9/6/2020,162,50
9/7/2020,104,65
9/8/2020,66,83
9/9/2020,98,87
9/10/2020,169,83
9/11/2020,301,83
9/12/2020,129,82
9/13/2020,112,89
9/14/2020,79,90
9/15/2020,65,86
9/16/2020,102,82
9/17/2020,159,85
9/18/2020,137,79
9/19/2020,109,89
9/20/2020,77,94
9/21/2020,56,90
9/22/2020,63,76
9/23/2020,167,88
9/24/2020,90,88
9/25/2020,140,94
9/26/2020,127,90
9/27/2020,98,100
9/28/2020,87,100
9/29/2020,87,94
9/30/2020,120,100
10/1/2020,105,92
10/2/2020,86,98
10/3/2020,133,100
10/4/2020,70,100
10/5/2020,50,91
10/6/2020,83,92
10/7/2020,108,100
10/8/2020,101,94
10/9/2020,161,84
10/10/2020,71,82
10/11/2020,101,86
10/12/2020,42,90
10/13/2020,61,80
10/14/2020,99,77
10/15/2020,90,88
10/16/2020,89,
