Time,Massachusetts,PercentOfBaseline
3/16/2020,149,97
3/17/2020,248,94
3/18/2020,259,93
3/19/2020,278,80
3/20/2020,387,89
3/21/2020,322,90
3/22/2020,286,89
3/23/2020,608,78
3/24/2020,718,79
3/25/2020,748,82
3/26/2020,935,76
3/27/2020,941,72
3/28/2020,657,70
3/29/2020,523,68
3/30/2020,1238,63
3/31/2020,1264,71
4/1/2020,1339,66
4/2/2020,1279,60
4/3/2020,1486,56
4/4/2020,1163,63
4/5/2020,981,63
4/6/2020,1931,66
4/7/2020,2024,62
4/8/2020,1863,65
4/9/2020,1987,53
4/10/2020,2060,57
4/11/2020,1301,60
4/12/2020,933,60
4/13/2020,2023,59
4/14/2020,2879,62
4/15/2020,2605,59
4/16/2020,2392,53
4/17/2020,2998,60
4/18/2020,1489,61
4/19/2020,1093,63
4/20/2020,2692,48
4/21/2020,2195,60
4/22/2020,2711,65
4/23/2020,2407,56
4/24/2020,2284,54
4/25/2020,1498,65
4/26/2020,847,64
4/27/2020,2132,56
4/28/2020,2109,63
4/29/2020,2191,62
4/30/2020,2051,56
5/1/2020,2086,59
5/2/2020,1031,66
5/3/2020,739,53
5/4/2020,1882,58
5/5/2020,1738,57
5/6/2020,1705,60
5/7/2020,1685,58
5/8/2020,1457,63
5/9/2020,692,56
5/10/2020,395,52
5/11/2020,1311,61
5/12/2020,1453,59
5/13/2020,1317,61
5/14/2020,1316,56
5/15/2020,1108,58
5/16/2020,651,53
5/17/2020,372,51
5/18/2020,1320,62
5/19/2020,1077,62
5/20/2020,1029,62
5/21/2020,978,60
5/22/2020,883,52
5/23/2020,400,51
5/24/2020,316,47
5/25/2020,215,32
5/26/2020,884,58
5/27/2020,710,60
5/28/2020,651,58
5/29/2020,537,60
5/30/2020,285,55
5/31/2020,170,58
6/1/2020,514,69
6/2/2020,454,72
6/3/2020,469,73
6/4/2020,382,64
6/5/2020,340,63
6/6/2020,152,58
6/7/2020,154,65
6/8/2020,365,60
6/9/2020,351,62
6/10/2020,266,66
6/11/2020,239,57
6/12/2020,263,59
6/13/2020,105,64
6/14/2020,84,56
6/15/2020,239,62
6/16/2020,210,68
6/17/2020,259,62
6/18/2020,261,62
6/19/2020,180,59
6/20/2020,97,52
6/21/2020,83,56
6/22/2020,230,58
6/23/2020,196,65
6/24/2020,215,68
6/25/2020,214,55
6/26/2020,208,62
6/27/2020,142,54
6/28/2020,73,59
6/29/2020,208,62
6/30/2020,227,61
7/1/2020,227,68
7/2/2020,234,64
7/3/2020,109,57
7/4/2020,67,51
7/5/2020,115,55
7/6/2020,250,65
7/7/2020,253,68
7/8/2020,231,69
7/9/2020,275,64
7/10/2020,246,62
7/11/2020,126,58
7/12/2020,102,64
7/13/2020,302,70
7/14/2020,237,64
7/15/2020,318,70
7/16/2020,246,63
7/17/2020,245,60
7/18/2020,135,62
7/19/2020,94,67
7/20/2020,293,59
7/21/2020,291,91
7/22/2020,290,72
7/23/2020,302,60
7/24/2020,282,67
7/25/2020,184,64
7/26/2020,143,67
7/27/2020,385,71
7/28/2020,356,77
7/29/2020,351,66
7/30/2020,354,62
7/31/2020,353,69
8/1/2020,152,59
8/2/2020,121,68
8/3/2020,381,67
8/4/2020,324,73
8/5/2020,347,68
8/6/2020,382,65
8/7/2020,325,62
8/8/2020,182,63
8/9/2020,102,60
8/10/2020,380,66
8/11/2020,307,63
8/12/2020,313,75
8/13/2020,369,62
8/14/2020,361,68
8/15/2020,176,57
8/16/2020,121,62
8/17/2020,382,67
8/18/2020,397,70
8/19/2020,343,61
8/20/2020,361,66
8/21/2020,300,69
8/22/2020,165,73
8/23/2020,110,67
8/24/2020,413,65
8/25/2020,404,76
8/26/2020,401,61
8/27/2020,377,65
8/28/2020,376,64
8/29/2020,203,75
8/30/2020,157,61
8/31/2020,450,69
9/1/2020,404,75
9/2/2020,404,58
9/3/2020,-280,64
9/4/2020,212,59
9/5/2020,438,58
9/6/2020,366,44
9/7/2020,229,64
9/8/2020,171,66
9/9/2020,181,58
9/10/2020,403,65
9/11/2020,440,61
9/12/2020,554,63
9/13/2020,286,69
9/14/2020,254,65
9/15/2020,313,75
9/16/2020,306,62
9/17/2020,429,75
9/18/2020,454,63
9/19/2020,599,56
9/20/2020,359,70
9/21/2020,256,71
9/22/2020,173,77
9/23/2020,543,68
9/24/2020,481,74
9/25/2020,488,66
9/26/2020,569,73
9/27/2020,592,73
9/28/2020,430,73
9/29/2020,512,78
9/30/2020,532,67
10/1/2020,754,66
10/2/2020,761,67
10/3/2020,672,68
10/4/2020,644,66
10/5/2020,515,65
10/6/2020,495,75
10/7/2020,535,61
10/8/2020,444,65
10/9/2020,765,63
10/10/2020,639,65
10/11/2020,563,51
10/12/2020,760,68
10/13/2020,749,76
10/14/2020,580,64
10/15/2020,587,68
10/16/2020,767,
