Time,North Carolina,PercentOfBaseline
3/16/2020,6,91
3/17/2020,23,90
3/18/2020,42,76
3/19/2020,48,77
3/20/2020,56,80
3/21/2020,79,73
3/22/2020,38,86
3/23/2020,98,72
3/24/2020,121,78
3/25/2020,117,71
3/26/2020,130,66
3/27/2020,172,59
3/28/2020,142,42
3/29/2020,129,50
3/30/2020,192,77
3/31/2020,152,80
4/1/2020,277,71
4/2/2020,238,65
4/3/2020,287,64
4/4/2020,255,31
4/5/2020,256,49
4/6/2020,262,73
4/7/2020,300,62
4/8/2020,247,66
4/9/2020,293,67
4/10/2020,237,40
4/11/2020,305,37
4/12/2020,304,38
4/13/2020,185,62
4/14/2020,171,61
4/15/2020,289,70
4/16/2020,393,66
4/17/2020,294,60
4/18/2020,353,32
4/19/2020,294,63
4/20/2020,215,67
4/21/2020,298,69
4/22/2020,397,77
4/23/2020,472,69
4/24/2020,434,69
4/25/2020,295,46
4/26/2020,410,48
4/27/2020,443,70
4/28/2020,362,70
4/29/2020,567,81
4/30/2020,409,76
5/1/2020,465,62
5/2/2020,344,44
5/3/2020,238,57
5/4/2020,316,74
5/5/2020,445,62
5/6/2020,613,74
5/7/2020,510,68
5/8/2020,465,76
5/9/2020,486,51
5/10/2020,272,55
5/11/2020,327,66
5/12/2020,424,71
5/13/2020,708,79
5/14/2020,794,72
5/15/2020,742,67
5/16/2020,485,43
5/17/2020,407,71
5/18/2020,523,79
5/19/2020,505,86
5/20/2020,825,79
5/21/2020,788,79
5/22/2020,948,61
5/23/2020,573,57
5/24/2020,553,59
5/25/2020,461,20
5/26/2020,615,84
5/27/2020,661,85
5/28/2020,1136,87
5/29/2020,1077,84
5/30/2020,910,71
5/31/2020,778,69
6/1/2020,639,92
6/2/2020,813,94
6/3/2020,1232,87
6/4/2020,1256,76
6/5/2020,1317,75
6/6/2020,950,50
6/7/2020,1113,64
6/8/2020,830,76
6/9/2020,864,87
6/10/2020,1277,84
6/11/2020,1630,92
6/12/2020,1497,75
6/13/2020,1363,63
6/14/2020,1091,53
6/15/2020,962,87
6/16/2020,868,78
6/17/2020,1379,82
6/18/2020,1619,81
6/19/2020,1496,84
6/20/2020,1299,67
6/21/2020,1120,57
6/22/2020,1028,84
6/23/2020,1285,87
6/24/2020,1375,82
6/25/2020,1620,73
6/26/2020,1770,84
6/27/2020,1529,64
6/28/2020,1333,69
6/29/2020,1262,80
6/30/2020,1895,76
7/1/2020,1604,76
7/2/2020,2075,73
7/3/2020,1463,33
7/4/2020,1411,31
7/5/2020,1437,42
7/6/2020,1393,69
7/7/2020,1598,85
7/8/2020,2002,92
7/9/2020,2013,88
7/10/2020,2271,72
7/11/2020,1999,61
7/12/2020,1824,49
7/13/2020,2081,77
7/14/2020,1937,81
7/15/2020,2031,77
7/16/2020,1966,85
7/17/2020,2367,75
7/18/2020,1796,58
7/19/2020,1321,50
7/20/2020,1915,75
7/21/2020,1835,86
7/22/2020,2452,94
7/23/2020,2252,100
7/24/2020,2051,77
7/25/2020,1807,71
7/26/2020,1591,98
7/27/2020,2049,95
7/28/2020,1608,100
7/29/2020,2364,79
7/30/2020,1951,89
7/31/2020,1988,80
8/1/2020,1402,62
8/2/2020,1370,66
8/3/2020,1580,89
8/4/2020,1227,99
8/5/2020,1953,77
8/6/2020,1866,97
8/7/2020,1786,83
8/8/2020,1365,79
8/9/2020,813,78
8/10/2020,1335,96
8/11/2020,1361,85
8/12/2020,1777,94
8/13/2020,1569,91
8/14/2020,1597,90
8/15/2020,1341,87
8/16/2020,886,82
8/17/2020,1257,95
8/18/2020,1379,94
8/19/2020,2049,89
8/20/2020,1989,87
8/21/2020,1790,72
8/22/2020,1519,91
8/23/2020,1217,87
8/24/2020,1495,100
8/25/2020,1394,94
8/26/2020,2161,100
8/27/2020,1987,79
8/28/2020,1539,67
8/29/2020,1695,67
8/30/2020,1110,90
8/31/2020,1392,100
9/1/2020,1342,99
9/2/2020,1952,100
9/3/2020,1704,94
9/4/2020,1657,100
9/5/2020,1161,92
9/6/2020,822,34
9/7/2020,817,100
9/8/2020,1065,100
9/9/2020,1250,100
9/10/2020,1690,100
9/11/2020,1502,81
9/12/2020,1104,79
9/13/2020,823,97
9/14/2020,1260,99
9/15/2020,1366,100
9/16/2020,1668,88
9/17/2020,1548,81
9/18/2020,1518,93
9/19/2020,1138,84
9/20/2020,819,87
9/21/2020,1202,100
9/22/2020,1124,100
9/23/2020,1755,100
9/24/2020,1709,95
9/25/2020,1674,70
9/26/2020,1225,58
9/27/2020,792,96
9/28/2020,1152,86
9/29/2020,825,93
9/30/2020,89,96
10/1/2020,2266,91
10/2/2020,1786,67
10/3/2020,2202,69
10/4/2020,610,80
10/5/2020,2258,79
10/6/2020,1504,86
10/7/2020,1711,88
10/8/2020,2428,80
10/9/2020,2034,52
10/10/2020,2321,56
10/11/2020,1719,77
10/12/2020,1276,82
10/13/2020,1734,81
10/14/2020,1926,79
10/15/2020,2532,76
10/16/2020,2684,
