Time,New York,PercentOfBaseline
3/16/2020,328,82.5
3/17/2020,446,76.5
3/18/2020,1100,71
3/19/2020,1714,63.5
3/20/2020,3439,62.5
3/21/2020,2750,69.5
3/22/2020,4781,65.5
3/23/2020,5693,58
3/24/2020,4797,61.5
3/25/2020,5160,60
3/26/2020,6556,51
3/27/2020,7304,56.5
3/28/2020,7699,59
3/29/2020,7248,56
3/30/2020,7015,58.5
3/31/2020,9190,54.5
4/1/2020,8095,54
4/2/2020,8558,52
4/3/2020,10481,48.5
4/4/2020,10846,56.5
4/5/2020,9327,62
4/6/2020,8655,53.5
4/7/2020,8060,47.5
4/8/2020,11186,47.5
4/9/2020,10718,49.5
4/10/2020,10569,46.5
4/11/2020,8678,56
4/12/2020,8007,60.5
4/13/2020,6716,46.5
4/14/2020,7271,45.5
4/15/2020,11434,45.5
4/16/2020,9237,47.5
4/17/2020,6906,48
4/18/2020,6806,50.5
4/19/2020,6148,54
4/20/2020,5080,54
4/21/2020,4865,49.5
4/22/2020,4931,52.5
4/23/2020,5033,47
4/24/2020,8130,44
4/25/2020,10553,52
4/26/2020,5902,59.5
4/27/2020,3951,53.5
4/28/2020,3110,48
4/29/2020,4585,48.5
4/30/2020,4681,50
5/1/2020,3942,47.5
5/2/2020,4663,52
5/3/2020,3438,55
5/4/2020,2538,57.5
5/5/2020,2239,48.5
5/6/2020,2786,49.5
5/7/2020,3491,50.5
5/8/2020,2938,48.5
5/9/2020,2715,52.5
5/10/2020,2273,58.5
5/11/2020,1660,52
5/12/2020,1430,48.5
5/13/2020,2176,58
5/14/2020,2390,51.5
5/15/2020,2762,51.5
5/16/2020,2419,57
5/17/2020,1889,53
5/18/2020,1250,56
5/19/2020,1474,54
5/20/2020,1525,56
5/21/2020,2088,53.5
5/22/2020,1696,50
5/23/2020,1772,51
5/24/2020,1589,53
5/25/2020,1249,25
5/26/2020,1072,50
5/27/2020,1129,57
5/28/2020,1768,54.5
5/29/2020,1551,51.5
5/30/2020,1376,56
5/31/2020,1110,59.5
6/1/2020,941,61.5
6/2/2020,1329,54.5
6/3/2020,1045,56.5
6/4/2020,1048,54
6/5/2020,1075,58
6/6/2020,1108,60.5
6/7/2020,781,58
6/8/2020,702,59
6/9/2020,683,58
6/10/2020,674,56
6/11/2020,736,55
6/12/2020,822,54.5
6/13/2020,916,70
6/14/2020,694,69.5
6/15/2020,620,60
6/16/2020,631,61.5
6/17/2020,567,57
6/18/2020,618,56
6/19/2020,796,52.5
6/20/2020,716,61.5
6/21/2020,664,57.5
6/22/2020,552,61.5
6/23/2020,597,63
6/24/2020,581,59
6/25/2020,749,58.5
6/26/2020,805,56
6/27/2020,703,65.5
6/28/2020,616,63
6/29/2020,391,60.5
6/30/2020,524,61
7/1/2020,625,64.5
7/2/2020,875,56
7/3/2020,918,38.5
7/4/2020,726,42
7/5/2020,533,65.5
7/6/2020,518,61
7/7/2020,588,65
7/8/2020,692,62
7/9/2020,584,61.5
7/10/2020,786,64
7/11/2020,730,69.5
7/12/2020,677,67.5
7/13/2020,557,63
7/14/2020,912,62.5
7/15/2020,831,63
7/16/2020,769,59.5
7/17/2020,776,62.5
7/18/2020,754,62.5
7/19/2020,502,61
7/20/2020,519,65.5
7/21/2020,855,61.5
7/22/2020,705,66
7/23/2020,811,58.5
7/24/2020,753,60
7/25/2020,750,64.5
7/26/2020,536,69
7/27/2020,608,59.5
7/28/2020,534,61
7/29/2020,715,61
7/30/2020,777,64.5
7/31/2020,644,54
8/1/2020,753,73.5
8/2/2020,531,72.5
8/3/2020,545,61.5
8/4/2020,746,54
8/5/2020,636,62
8/6/2020,703,65
8/7/2020,714,56.5
8/8/2020,703,67.5
8/9/2020,515,69
8/10/2020,476,62
8/11/2020,667,66
8/12/2020,700,66.5
8/13/2020,737,58.5
8/14/2020,727,56.5
8/15/2020,734,61.5
8/16/2020,607,68.5
8/17/2020,408,0
8/18/2020,655,66
8/19/2020,631,69.5
8/20/2020,601,75.5
8/21/2020,709,69
8/22/2020,653,60.5
8/23/2020,572,77.5
8/24/2020,408,74.5
8/25/2020,629,63.5
8/26/2020,566,64
8/27/2020,791,66.5
8/28/2020,636,56
8/29/2020,635,64.5
8/30/2020,698,76.5
8/31/2020,656,61.5
9/1/2020,754,58.5
9/2/2020,708,59
9/3/2020,889,60
9/4/2020,864,56.5
9/5/2020,801,62.5
9/6/2020,729,71.5
9/7/2020,520,29.5
9/8/2020,557,56.5
9/9/2020,576,61.5
9/10/2020,757,59.5
9/11/2020,880,55.5
9/12/2020,849,70.5
9/13/2020,725,64.5
9/14/2020,583,68
9/15/2020,766,63
9/16/2020,652,63.5
9/17/2020,896,62
9/18/2020,790,64
9/19/2020,986,74.5
9/20/2020,862,64
9/21/2020,573,73.5
9/22/2020,754,69
9/23/2020,665,69.5
9/24/2020,955,74.5
9/25/2020,908,74
9/26/2020,1005,72.5
9/27/2020,866,65
9/28/2020,834,66.5
9/29/2020,1189,83
9/30/2020,1000,81
10/1/2020,1382,78.5
10/2/2020,1598,76.5
10/3/2020,1731,72.5
10/4/2020,1222,64
10/5/2020,933,81.5
10/6/2020,1393,80
10/7/2020,1360,75
10/8/2020,1836,78
10/9/2020,1592,79.5
10/10/2020,1447,79
10/11/2020,1143,62.5
10/12/2020,1029,42.5
10/13/2020,1393,76
10/14/2020,1232,80.5
10/15/2020,1460,78
10/16/2020,1707,67.5
