Time,Ontario,PercentOfBaseline
3/16/2020,73,98
3/17/2020,8,91.5
3/18/2020,36,90.5
3/19/2020,36,84.5
3/20/2020,51,82.5
3/21/2020,69,82.5
3/22/2020,48,58
3/23/2020,78,87
3/24/2020,85,83.5
3/25/2020,100,80
3/26/2020,170,75.5
3/27/2020,136,72.5
3/28/2020,150,55.5
3/29/2020,211,28
3/30/2020,351,77.5
3/31/2020,260,73.5
4/1/2020,426,76.5
4/2/2020,401,72.5
4/3/2020,462,73
4/4/2020,375,46.5
4/5/2020,724,25.5
4/6/2020,-7,81
4/7/2020,379,70.5
4/8/2020,550,73
4/9/2020,483,72.5
4/10/2020,478,15
4/11/2020,411,16
4/12/2020,401,42
4/13/2020,421,64.5
4/14/2020,483,67
4/15/2020,494,74
4/16/2020,1393,70.5
4/17/2020,616,64
4/18/2020,557,47.5
4/19/2020,548,36.5
4/20/2020,502,79.5
4/21/2020,652,73
4/22/2020,1003,72
4/23/2020,350,71.5
4/24/2020,482,71
4/25/2020,462,53
4/26/2020,556,33
4/27/2020,402,77.5
4/28/2020,530,79.5
4/29/2020,478,74
4/30/2020,417,74.5
5/1/2020,485,73
5/2/2020,441,57
5/3/2020,253,38
5/4/2020,523,78
5/5/2020,371,75
5/6/2020,442,77
5/7/2020,478,74.5
5/8/2020,438,78.5
5/9/2020,322,56
5/10/2020,321,39.5
5/11/2020,348,77
5/12/2020,341,79
5/13/2020,358,75.5
5/14/2020,349,78.5
5/15/2020,393,71
5/16/2020,387,52.5
5/17/2020,329,42
5/18/2020,312,10.5
5/19/2020,469,61.5
5/20/2020,442,81.5
5/21/2020,398,82
5/22/2020,490,83
5/23/2020,475,62.5
5/24/2020,337,41.5
5/25/2020,405,84
5/26/2020,322,82.5
5/27/2020,319,79
5/28/2020,377,82
5/29/2020,380,77
5/30/2020,323,61
5/31/2020,367,60
6/1/2020,455,87.5
6/2/2020,414,80
6/3/2020,344,81
6/4/2020,343,83.5
6/5/2020,413,81
6/6/2020,261,69.5
6/7/2020,476,41.5
6/8/2020,299,84.5
6/9/2020,283,82.5
6/10/2020,258,82.5
6/11/2020,237,84
6/12/2020,205,78.5
6/13/2020,247,72
6/14/2020,181,51
6/15/2020,180,89.5
6/16/2020,188,87
6/17/2020,208,85
6/18/2020,192,85
6/19/2020,206,82
6/20/2020,264,58.5
6/21/2020,173,56.5
6/22/2020,201,88.5
6/23/2020,239,82.5
6/24/2020,204,84.5
6/25/2020,185,82
6/26/2020,105,76.5
6/27/2020,171,67
6/28/2020,275,70.5
6/29/2020,226,84.5
6/30/2020,138,84.5
7/1/2020,124,22
7/2/2020,157,71
7/3/2020,165,77.5
7/4/2020,118,68
7/5/2020,128,40.5
7/6/2020,176,89
7/7/2020,88,82
7/8/2020,162,84
7/9/2020,121,83.5
7/10/2020,123,84.5
7/11/2020,75,61.5
7/12/2020,83,52.5
7/13/2020,249,90.5
7/14/2020,84,81
7/15/2020,104,86.5
7/16/2020,125,81
7/17/2020,121,81
7/18/2020,152,68.5
7/19/2020,118,46.5
7/20/2020,119,87
7/21/2020,165,85
7/22/2020,106,84
7/23/2020,112,86.5
7/24/2020,405,85
7/25/2020,116,66.5
7/26/2020,101,47
7/27/2020,115,87.5
7/28/2020,114,85.5
7/29/2020,86,86.5
7/30/2020,80,85.5
7/31/2020,225,82
8/1/2020,79,69
8/2/2020,76,40.5
8/3/2020,58,13
8/4/2020,104,70.5
8/5/2020,65,84
8/6/2020,75,87.5
8/7/2020,180,83.5
8/8/2020,79,71.5
8/9/2020,68,45.5
8/10/2020,120,82.5
8/11/2020,80,84.5
8/12/2020,71,83.5
8/13/2020,80,84
8/14/2020,99,83
8/15/2020,89,64.5
8/16/2020,62,50.5
8/17/2020,123,85
8/18/2020,114,82.5
8/19/2020,90,87.5
8/20/2020,93,80
8/21/2020,143,60
8/22/2020,92,49.5
8/23/2020,105,87.5
8/24/2020,131,85.5
8/25/2020,87,86
8/26/2020,117,86
8/27/2020,143,85.5
8/28/2020,118,73
8/29/2020,126,60.5
8/30/2020,98,86.5
8/31/2020,136,82.5
9/1/2020,139,87
9/2/2020,154,89
9/3/2020,148,86
9/4/2020,132,64.5
9/5/2020,167,49.5
9/6/2020,137,15
9/7/2020,158,75.5
9/8/2020,231,87.5
9/9/2020,179,87
9/10/2020,163,84.5
9/11/2020,231,68
9/12/2020,205,56.5
9/13/2020,162,87
9/14/2020,420,85.5
9/15/2020,260,87.5
9/16/2020,323,88.5
9/17/2020,200,82
9/18/2020,531,70
9/19/2020,98,68.5
9/20/2020,633,87
9/21/2020,492,87
9/22/2020,502,85
9/23/2020,329,88.5
9/24/2020,364,82
9/25/2020,529,64.5
9/26/2020,273,60
9/27/2020,695,92
9/28/2020,315,87
9/29/2020,666,87
9/30/2020,944,84.5
10/1/2020,584,85
10/2/2020,732,66
10/3/2020,147,55.5
10/4/2020,1022,90
10/5/2020,694,86
10/6/2020,557,84.5
10/7/2020,407,85.5
10/8/2020,711,82
10/9/2020,1276,65
10/10/2020,889,44.5
10/11/2020,600,13.5
10/12/2020,0,76
10/13/2020,1622,86.5
10/14/2020,792,84
10/15/2020,734,88
10/16/2020,904,
