Time,Quebec,PercentOfBaseline
3/16/2020,26,100
3/17/2020,24,99
3/18/2020,20,99
3/19/2020,27,97.5
3/20/2020,18,99.5
3/21/2020,42,70
3/22/2020,38,87
3/23/2020,409,94.5
3/24/2020,385,88
3/25/2020,329,64.5
3/26/2020,290,66
3/27/2020,392,65.5
3/28/2020,474,54
3/29/2020,342,52.5
3/30/2020,590,56
3/31/2020,732,61.5
4/1/2020,449,59
4/2/2020,907,59.5
4/3/2020,583,60.5
4/4/2020,0,49.5
4/5/2020,1843,32
4/6/2020,636,50.5
4/7/2020,760,61
4/8/2020,691,56.5
4/9/2020,881,60.5
4/10/2020,765,25
4/11/2020,615,19
4/12/2020,554,34
4/13/2020,711,37.5
4/14/2020,691,65.5
4/15/2020,612,66
4/16/2020,997,63.5
4/17/2020,941,60.5
4/18/2020,723,73.5
4/19/2020,429,36
4/20/2020,1369,68
4/21/2020,807,76
4/22/2020,839,72.5
4/23/2020,873,69.5
4/24/2020,778,70
4/25/2020,651,52.5
4/26/2020,842,36
4/27/2020,874,68.5
4/28/2020,778,79
4/29/2020,849,67
4/30/2020,940,75
5/1/2020,1106,82.5
5/2/2020,1008,64.5
5/3/2020,2209,45.5
5/4/2020,758,68
5/5/2020,794,73.5
5/6/2020,909,74.5
5/7/2020,915,77
5/8/2020,912,84.5
5/9/2020,836,74.5
5/10/2020,735,32
5/11/2020,748,84.5
5/12/2020,755,87.5
5/13/2020,705,85
5/14/2020,792,87.5
5/15/2020,697,88
5/16/2020,763,67.5
5/17/2020,736,64
5/18/2020,708,16
5/19/2020,570,82
5/20/2020,578,87.5
5/21/2020,720,89
5/22/2020,646,87.5
5/23/2020,697,68.5
5/24/2020,573,67
5/25/2020,573,89.5
5/26/2020,614,88
5/27/2020,541,87.5
5/28/2020,563,88.5
5/29/2020,521,87.5
5/30/2020,419,68.5
5/31/2020,408,66.5
6/1/2020,295,88
6/2/2020,239,91
6/3/2020,291,91
6/4/2020,259,91
6/5/2020,255,91.5
6/6/2020,226,61
6/7/2020,225,70
6/8/2020,198,89.5
6/9/2020,138,89.5
6/10/2020,156,88.5
6/11/2020,144,89.5
6/12/2020,181,90.5
6/13/2020,158,72
6/14/2020,128,73
6/15/2020,102,90.5
6/16/2020,92,89.5
6/17/2020,117,92.5
6/18/2020,120,93
6/19/2020,167,90.5
6/20/2020,124,63.5
6/21/2020,92,62
6/22/2020,69,92.5
6/23/2020,49,91.5
6/24/2020,53,28
6/25/2020,142,85
6/26/2020,0,93.5
6/27/2020,0,68
6/28/2020,0,59.5
6/29/2020,311,94
6/30/2020,68,93.5
7/1/2020,66,53.5
7/2/2020,69,83.5
7/3/2020,89,70
7/4/2020,102,59.5
7/5/2020,79,65
7/6/2020,74,92.5
7/7/2020,60,94
7/8/2020,82,91.5
7/9/2020,137,92.5
7/10/2020,100,93.5
7/11/2020,91,66
7/12/2020,114,70
7/13/2020,100,90.5
7/14/2020,109,93
7/15/2020,129,94
7/16/2020,142,92.5
7/17/2020,141,92
7/18/2020,158,67
7/19/2020,166,70.5
7/20/2020,150,92
7/21/2020,180,92.5
7/22/2020,142,87.5
7/23/2020,142,87.5
7/24/2020,163,80
7/25/2020,171,80.5
7/26/2020,169,69
7/27/2020,145,74
7/28/2020,169,83
7/29/2020,176,77.5
7/30/2020,58,81.5
7/31/2020,181,75
8/1/2020,146,63
8/2/2020,141,84.5
8/3/2020,123,82
8/4/2020,123,83
8/5/2020,155,86.5
8/6/2020,133,91
8/7/2020,108,93
8/8/2020,126,72
8/9/2020,104,62.5
8/10/2020,156,93
8/11/2020,91,92.5
8/12/2020,95,93
8/13/2020,104,90
8/14/2020,87,89.5
8/15/2020,80,70.5
8/16/2020,67,72.5
8/17/2020,55,0
8/18/2020,46,92
8/19/2020,64,92.5
8/20/2020,86,90
8/21/2020,93,91.5
8/22/2020,104,72.5
8/23/2020,74,72.5
8/24/2020,68,92.5
8/25/2020,62,93
8/26/2020,142,89
8/27/2020,111,94
8/28/2020,68,92
8/29/2020,108,69
8/30/2020,120,77
8/31/2020,140,93.5
9/1/2020,122,92
9/2/2020,132,92.5
9/3/2020,187,93.5
9/4/2020,184,93
9/5/2020,175,79
9/6/2020,205,75
9/7/2020,216,12
9/8/2020,163,83.5
9/9/2020,180,93
9/10/2020,188,92.5
9/11/2020,219,95.5
9/12/2020,244,87.5
9/13/2020,279,80.5
9/14/2020,276,93.5
9/15/2020,292,95
9/16/2020,303,94
9/17/2020,499,95
9/18/2020,297,92.5
9/19/2020,427,76.5
9/20/2020,462,73
9/21/2020,586,93
9/22/2020,489,94.5
9/23/2020,471,94
9/24/2020,582,93
9/25/2020,637,96
9/26/2020,698,73.5
9/27/2020,896,79.5
9/28/2020,750,97
9/29/2020,799,95.5
9/30/2020,838,95
10/1/2020,933,95.5
10/2/2020,1052,96
10/3/2020,1107,87
10/4/2020,1079,48
10/5/2020,1191,96
10/6/2020,1364,96
10/7/2020,900,95
10/8/2020,1078,95
10/9/2020,1102,96.5
10/10/2020,1097,86
10/11/2020,942,49
10/12/2020,843,14.5
10/13/2020,815,85
10/14/2020,1203,94
10/15/2020,969,95.5
10/16/2020,1055,94
