Time,Washington,PercentOfBaseline
3/16/2020,176,80
3/17/2020,176,85
3/18/2020,67,92
3/19/2020,352,78
3/20/2020,150,71
3/21/2020,269,71
3/22/2020,204,69
3/23/2020,224,64
3/24/2020,107,64
3/25/2020,263,69
3/26/2020,616,70
3/27/2020,270,67
3/28/2020,553,59
3/29/2020,435,61
3/30/2020,458,50
3/31/2020,509,64
4/1/2020,176,65
4/2/2020,781,55
4/3/2020,457,60
4/4/2020,401,45
4/5/2020,578,44
4/6/2020,486,54
4/7/2020,381,61
4/8/2020,584,65
4/9/2020,363,49
4/10/2020,480,52
4/11/2020,315,42
4/12/2020,175,35
4/13/2020,26,44
4/14/2020,164,62
4/15/2020,143,68
4/16/2020,115,61
4/17/2020,460,49
4/18/2020,259,40
4/19/2020,202,26
4/20/2020,136,69
4/21/2020,278,63
4/22/2020,204,63
4/23/2020,157,57
4/24/2020,224,56
4/25/2020,342,42
4/26/2020,202,43
4/27/2020,165,61
4/28/2020,156,66
4/29/2020,228,59
4/30/2020,257,59
5/1/2020,310,58
5/2/2020,366,38
5/3/2020,182,47
5/4/2020,277,59
5/5/2020,132,73
5/6/2020,311,67
5/7/2020,326,61
5/8/2020,157,60
5/9/2020,286,46
5/10/2020,217,39
5/11/2020,231,69
5/12/2020,208,65
5/13/2020,182,73
5/14/2020,261,67
5/15/2020,178,63
5/16/2020,337,40
5/17/2020,145,52
5/18/2020,178,67
5/19/2020,200,66
5/20/2020,160,74
5/21/2020,146,68
5/22/2020,148,63
5/23/2020,0,42
5/24/2020,563,53
5/25/2020,237,25
5/26/2020,116,61
5/27/2020,225,73
5/28/2020,358,72
5/29/2020,307,62
5/30/2020,278,50
5/31/2020,353,64
6/1/2020,275,61
6/2/2020,180,70
6/3/2020,327,71
6/4/2020,245,70
6/5/2020,264,80
6/6/2020,449,56
6/7/2020,287,70
6/8/2020,312,68
6/9/2020,313,57
6/10/2020,0,62
6/11/2020,425,71
6/12/2020,392,69
6/13/2020,367,59
6/14/2020,296,59
6/15/2020,324,64
6/16/2020,373,70
6/17/2020,253,78
6/18/2020,408,72
6/19/2020,409,68
6/20/2020,624,56
6/21/2020,455,62
6/22/2020,190,67
6/23/2020,516,76
6/24/2020,483,80
6/25/2020,498,76
6/26/2020,488,73
6/27/2020,549,60
6/28/2020,348,46
6/29/2020,501,61
6/30/2020,571,67
7/1/2020,611,80
7/2/2020,716,74
7/3/2020,627,48
7/4/2020,469,45
7/5/2020,651,46
7/6/2020,1087,66
7/7/2020,435,79
7/8/2020,521,79
7/9/2020,640,80
7/10/2020,637,86
7/11/2020,0,55
7/12/2020,1438,47
7/13/2020,1101,63
7/14/2020,547,77
7/15/2020,742,64
7/16/2020,1267,76
7/17/2020,754,68
7/18/2020,959,60
7/19/2020,920,62
7/20/2020,797,71
7/21/2020,832,81
7/22/2020,672,82
7/23/2020,762,69
7/24/2020,815,75
7/25/2020,1025,65
7/26/2020,786,55
7/27/2020,686,64
7/28/2020,884,65
7/29/2020,780,74
7/30/2020,818,72
7/31/2020,0,69
8/1/2020,1738,54
8/2/2020,632,48
8/3/2020,542,56
8/4/2020,664,79
8/5/2020,705,72
8/6/2020,833,69
8/7/2020,670,80
8/8/2020,936,76
8/9/2020,549,56
8/10/2020,575,67
8/11/2020,504,66
8/12/2020,551,77
8/13/2020,637,66
8/14/2020,800,69
8/15/2020,746,58
8/16/2020,576,53
8/17/2020,260,64
8/18/2020,542,73
8/19/2020,426,68
8/20/2020,700,67
8/21/2020,390,55
8/22/2020,816,64
8/23/2020,417,58
8/24/2020,359,69
8/25/2020,334,85
8/26/2020,456,77
8/27/2020,542,68
8/28/2020,598,65
8/29/2020,578,68
8/30/2020,441,60
8/31/2020,315,65
9/1/2020,304,72
9/2/2020,438,71
9/3/2020,479,65
9/4/2020,479,61
9/5/2020,501,47
9/6/2020,399,31
9/7/2020,310,54
9/8/2020,0,74
9/9/2020,464,76
9/10/2020,458,69
9/11/2020,544,68
9/12/2020,465,66
9/13/2020,350,66
9/14/2020,312,61
9/15/2020,327,77
9/16/2020,347,70
9/17/2020,386,75
9/18/2020,404,51
9/19/2020,597,54
9/20/2020,349,69
9/21/2020,182,72
9/22/2020,463,70
9/23/2020,509,70
9/24/2020,536,59
9/25/2020,988,54
9/26/2020,604,50
9/27/2020,439,63
9/28/2020,369,83
9/29/2020,404,71
9/30/2020,480,78
10/1/2020,594,72
10/2/2020,694,55
10/3/2020,609,43
10/4/2020,455,79
10/5/2020,402,71
10/6/2020,387,75
10/7/2020,545,76
10/8/2020,710,70
10/9/2020,642,43
10/10/2020,475,57
10/11/2020,0,67
10/12/2020,0,81
10/13/2020,1740,76
10/14/2020,734,74
10/15/2020,676,72
10/16/2020,709,
