PercentOfBaseline,change,Unemploy
89,0.390702275,8.1
89.83333333,0.485064011,8.1
65.33333333,0.161877395,8.1
54.16666667,-0.139736191,17
60,0.083373263,17
47.33333333,-0.134896064,17
56,0.303680982,17
34.83333333,-0.011372549,17
45.66666667,-0.000793336,17
63.33333333,-0.098451767,13.7
59.16666667,0.10127697,13.7
72.66666667,0.221111555,13.7
52.83333333,0.231499673,13.7
71.5,-0.272533901,13.7
74,-0.152412281,13.7
62.33333333,-0.028891764,10.7
78.66666667,-0.024866785,10.7
63.66666667,-0.154826958,10.7
86.66666667,0.111530172,10.7
73.16666667,-0.146873485,10.7
