Country/Region,State,Date,Type
Canada,Alberta,3/17/2020,Full
Canada,British Columbia,3/18/2020,Full
Canada,Manitoba,3/20/2020,Full
Canada,Nova Scotia,3/22/2020,Full
Canada,Ontario,3/14/2020,Full
Canada,Quebec,3/12/2020,Full
US,California,3/19/2020,Full
US,Colorado,3/26/2020,Full
US,Florida,4/2/2020,Full
US,Georgia,,None
US,Hawaii,3/2852020,Full
US,Illinois,3/21/2020,Full
US,Massachusetts,3/24/2020,Full
US,Michigan,3/24/2020,Full
US,Nevada,4/2/2020,Full
US,New Jersey,3/21/2020,Full
US,New York,3/22/2020,Full
US,North Carolina,3/30/2020,Full
US,Texas,4/2/2020,Full
US,Virginia,3/30/2020,Full
US,Washington,3/23/2020,Full
