State,March,March,March,April,April,April,April,April,April,May,May,May,May,May,May,June,June,June,June
California,5.3,5.3,5.3,15.5,15.5,15.5,15.5,15.5,15.5,16.4,16.4,16.4,16.4,16.4,16.4,14.9,14.9,14.9,14.9
Colorado,4.5,4.5,4.5,11.3,11.3,11.3,11.3,11.3,11.3,10.2,10.2,10.2,10.2,10.2,10.2,10.5,10.5,10.5,10.5
Florida,4.3,4.3,4.3,12.9,12.9,12.9,12.9,12.9,12.9,13.7,13.7,13.7,13.7,13.7,13.7,10.4,10.4,10.4,10.4
Georgia,4.2,4.2,4.2,11.9,11.9,11.9,11.9,11.9,11.9,9.4,9.4,9.4,9.4,9.4,9.4,7.6,7.6,7.6,7.6
Hawaii,2.6,2.6,2.6,22.3,22.3,22.3,22.3,22.3,22.3,23.5,23.5,23.5,23.5,23.5,23.5,13.9,13.9,13.9,13.9
Illinois,4.6,4.6,4.6,16.4,16.4,16.4,16.4,16.4,16.4,15.3,15.3,15.3,15.3,15.3,15.3,14.6,14.6,14.6,14.6
Massachusetts,2.9,2.9,2.9,15.1,15.1,15.1,15.1,15.1,15.1,16.6,16.6,16.6,16.6,16.6,16.6,17.4,17.4,17.4,17.4
Michigan,4.1,4.1,4.1,22.7,22.7,22.7,22.7,22.7,22.7,21.3,21.3,21.3,21.3,21.3,21.3,14.8,14.8,14.8,14.8
Nevada,6.3,6.3,6.3,28.3,28.3,28.3,28.3,28.3,28.3,25.3,25.3,25.3,25.3,25.3,25.3,15,15,15,15
New Jersey,3.8,3.8,3.8,15.3,15.3,15.3,15.3,15.3,15.3,15.4,15.4,15.4,15.4,15.4,15.4,16.6,16.6,16.6,16.6
New York,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,15.7,15.7,15.7,15.7
North Carolina,4.4,4.4,4.4,12.2,12.2,12.2,12.2,12.2,12.2,12.8,12.8,12.8,12.8,12.8,12.8,7.6,7.6,7.6,7.6
Texas,4.7,4.7,4.7,12.8,12.8,12.8,12.8,12.8,12.8,13,13,13,13,13,13,8.6,8.6,8.6,8.6
Virginia,3.3,3.3,3.3,10.6,10.6,10.6,10.6,10.6,10.6,9,9,9,9,9,9,8.4,8.4,8.4,8.4
Washington,5.1,5.1,5.1,15.4,15.4,15.4,15.4,15.4,15.4,15.1,15.1,15.1,15.1,15.1,15.1,9.8,9.8,9.8,9.8
Nova Scotia,9,9,9,12,12,12,12,12,12,13.6,13.6,13.6,13.6,13.6,13.6,13,13,13,13
Quebec,8.1,8.1,8.1,17,17,17,17,17,17,13.7,13.7,13.7,13.7,13.7,13.7,10.7,10.7,10.7,10.7
Ontario,7.6,7.6,7.6,11.3,11.3,11.3,11.3,11.3,11.3,13.6,13.6,13.6,13.6,13.6,13.6,12.2,12.2,12.2,12.2
Manitoba,6.4,6.4,6.4,11.4,11.4,11.4,11.4,11.4,11.4,11.2,11.2,11.2,11.2,11.2,11.2,10.1,10.1,10.1,10.1
British Columbia,7.2,7.2,7.2,11.5,11.5,11.5,11.5,11.5,11.5,13.4,13.4,13.4,13.4,13.4,13.4,13,13,13,13
New South Wales,4.7,4.7,4.7,6,6,6,6,6,6,6.4,6.4,6.4,6.4,6.4,6.4,6.9,6.9,6.9,6.9
Santiago Province,8.2,8.2,8.2,9,9,9,9,9,9,11.2,11.2,11.2,11.2,11.2,11.2,12.2,12.2,12.2,12.2
Alberta,8.7,8.7,8.7,13.4,13.4,13.4,13.4,13.4,13.4,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5
